course,instructor,quarter,year,A,B,C,D,F,nLetterStudents,nPNPStudents,avgGPA,P,dept,S,su,Ap,Bp,Cp,Dp,Am,Bm,Cm,Dm,IP
WRIT    501B,DEAN C W,Fall,2009,0,0,0,0,0,0,0,0.0,0,WRIT,16,0.0,0,0,0,0,0,0,0,0,0
WRIT    500,BROWNING R,Fall,2009,0,0,0,0,0,0,0,0.0,0,WRIT,5,0.0,0,0,0,0,0,0,0,0,0
WRIT    109ST,BRADLEY N D,Fall,2009,19,0,0,0,2,26,0,3.619230769230769,0,WRIT,0,0.0,0,1,0,0,4,0,0,0,0
WRIT    109ST,LUNSFORD K J,Fall,2009,8,1,0,0,1,23,0,3.4565217391304346,0,WRIT,0,0.0,0,9,0,0,4,0,0,0,0
WRIT    109SS,PETRACCA M F,Fall,2009,13,2,0,1,0,24,0,3.675,0,WRIT,0,0.0,0,1,0,0,7,0,0,0,0
WRIT    109L,EK A A,Fall,2009,1,9,0,0,0,22,0,3.145454545454545,0,WRIT,0,0.0,0,7,1,0,3,0,1,0,0
WRIT    109L,WALLING O W,Fall,2009,2,5,0,0,0,23,0,3.1260869565217395,0,WRIT,0,0.0,1,6,3,0,3,2,1,0,0
WRIT    109JW,MIZRAHI J L,Fall,2009,0,6,0,0,1,23,0,3.0173913043478264,0,WRIT,0,0.0,0,7,0,0,4,5,0,0,0
WRIT    109HU,HUK P M,Fall,2009,1,2,0,0,0,25,0,3.4640000000000004,0,WRIT,0,0.0,0,7,0,0,13,2,0,0,0
WRIT    109HP,MIZRAHI J L,Fall,2009,4,4,0,0,0,16,0,3.4625,0,WRIT,0,0.0,0,2,1,0,5,0,0,0,0
WRIT    109EC,CATALINI J P,Fall,2009,7,1,1,0,0,24,0,3.5875,0,WRIT,0,0.0,0,6,0,0,9,0,0,0,0
WRIT    109EC,COKLIN L,Fall,2009,7,13,0,0,0,50,0,3.236,0,WRIT,0,0.0,0,16,2,0,5,7,0,0,0
WRIT    109EC,GENOVA G L,Fall,2009,4,1,0,0,0,23,0,3.5869565217391304,0,WRIT,0,0.0,1,6,0,0,10,1,0,0,0
WRIT    109EC,HANSON J L,Fall,2009,7,6,0,0,1,50,0,3.346,0,WRIT,0,0.0,1,17,1,0,13,4,0,0,0
WRIT    109EC,MCHUGH P,Fall,2009,11,4,0,0,0,50,0,3.522,0,WRIT,0,0.0,0,16,0,0,16,3,0,0,0
WRIT     50,AVERY L K,Fall,2009,3,4,2,0,0,23,0,3.239130434782609,0,WRIT,0,0.0,1,8,1,0,3,1,0,0,0
WRIT     50,COKLIN L,Fall,2009,2,5,3,0,1,25,0,2.8080000000000003,0,WRIT,0,0.0,0,2,2,0,4,5,1,0,0
WRIT     50,GENOVA G L,Fall,2009,1,4,0,0,1,21,0,2.9714285714285715,0,WRIT,0,0.0,1,3,3,0,5,2,1,0,0
WRIT     50,KRUT R M,Fall,2009,8,3,0,0,1,25,0,3.5000000000000004,0,WRIT,0,0.0,0,4,0,0,9,0,0,0,0
WRIT     50,MCHUGH P,Fall,2009,7,1,0,0,0,24,0,3.641666666666667,0,WRIT,0,0.0,0,7,0,0,9,0,0,0,0
WRIT      2E,HUK P M,Fall,2009,3,1,0,0,0,23,0,3.630434782608696,0,WRIT,0,0.0,0,2,0,0,16,1,0,0,0
WRIT      2,BROWNING R,Fall,2009,8,1,0,0,0,25,0,3.472,0,WRIT,0,0.0,0,6,0,0,6,3,1,0,0
WRIT      2,COTICH C,Fall,2009,0,10,2,0,1,24,0,2.704166666666666,0,WRIT,0,0.0,0,4,1,2,2,2,0,0,0
WRIT      2,EK A A,Fall,2009,7,6,1,0,0,50,0,3.34,0,WRIT,0,0.0,0,18,0,0,12,5,1,0,0
WRIT      2,MACKER E A,Fall,2009,0,3,0,0,1,18,0,2.688888888888889,0,WRIT,0,0.0,0,2,2,2,5,2,1,0,0
WRIT      2,MILLER L A,Fall,2009,1,10,0,0,0,25,0,3.272,0,WRIT,0,0.0,0,5,0,0,7,2,0,0,0
WRIT      1,AVERY L K,Fall,2009,3,2,0,0,0,24,0,3.420833333333333,0,WRIT,0,0.0,0,8,0,0,8,3,0,0,0
WRIT      1,COTICH C,Fall,2009,0,7,3,0,0,17,0,2.594117647058824,0,WRIT,0,0.0,0,0,2,0,1,2,2,0,0
WRIT      1,KRUT R M,Fall,2009,0,8,2,0,0,18,0,2.9,0,WRIT,0,0.0,0,5,1,0,0,2,0,0,0
WRIT      1,MIELE I,Fall,2009,2,5,0,0,0,22,0,3.386363636363636,0,WRIT,0,0.0,0,10,0,0,5,0,0,0,0
WRIT      1,VALLIS D L,Fall,2009,5,5,0,0,0,18,0,3.455555555555556,0,WRIT,0,0.0,0,6,0,0,2,0,0,0,0
THTR    500,MILLS J S,Fall,2009,0,0,0,0,0,0,0,0.0,0,THTR,5,0.0,0,0,0,0,0,0,0,0,0
THTR    188TP,WILLIAMS S,Fall,2009,5,6,0,0,1,32,0,3.253125,0,THTR,0,0.0,1,6,2,0,8,3,0,0,0
THTR    180E,MORTON C,Fall,2009,23,1,0,0,1,34,0,3.620588235294118,0,THTR,0,0.0,0,3,0,0,2,4,0,0,0
THTR    180B,KING W D,Fall,2009,4,5,2,0,2,39,0,3.069230769230769,0,THTR,0,0.0,1,11,1,0,7,6,0,0,0
THTR    149,APPEL I J,Fall,2009,5,0,0,0,0,5,0,4.0,0,THTR,0,0.0,0,0,0,0,0,0,0,0,0
THTR    149,SCOTT V,Fall,2009,16,0,0,0,0,18,0,3.961111111111111,0,THTR,0,0.0,1,1,0,0,0,0,0,0,0
THTR    149,WHITAKER T O,Fall,2009,11,0,0,0,0,11,0,4.0,0,THTR,0,0.0,0,0,0,0,0,0,0,0,0
THTR    129,LAYTON A M,Fall,2009,14,0,0,0,0,18,0,3.966666666666667,0,THTR,0,0.0,2,0,0,0,2,0,0,0,0
THTR     49,SCOTT V,Fall,2009,12,0,0,0,0,12,0,4.0,0,THTR,0,0.0,0,0,0,0,0,0,0,0,0
THTR     29D,SCOTT V,Fall,2009,15,0,0,0,2,17,0,3.5294117647058822,0,THTR,0,0.0,0,0,0,0,0,0,0,0,0
THTR     21,LAYTON A M,Fall,2009,8,0,0,0,0,10,0,4.0,0,THTR,0,0.0,2,0,0,0,0,0,0,0,0
THTR     19,LAYTON A M,Fall,2009,19,1,1,0,0,30,0,3.826666666666666,0,THTR,0,0.0,3,1,0,0,5,0,0,0,0
THTR     15A,TORSIGLIERI A,Fall,2009,5,2,0,0,0,13,0,3.646153846153846,0,THTR,0,0.0,0,2,0,0,4,0,0,0,0
THTR     11A,MORGAN M,Fall,2009,25,0,0,0,0,25,0,4.0,0,THTR,0,0.0,0,0,0,0,0,0,0,0,0
THTR      5,MILLS J S,Fall,2009,37,7,0,0,0,75,0,3.609333333333333,0,THTR,0,0.0,0,9,0,1,17,2,1,1,0
THTR      1,KING W D,Fall,2009,11,7,1,1,0,50,0,3.448,0,THTR,0,0.0,0,8,1,0,19,2,0,0,0
SPAN    591,MARQUES-PASCU,Fall,2009,0,0,0,0,0,0,0,0.0,0,SPAN,20,0.0,0,0,0,0,0,0,0,0,0
SPAN    294A,POOT-HERRERA,Fall,2009,6,0,0,0,0,8,0,3.9625,0,SPAN,0,0.0,1,0,0,0,1,0,0,0,0
SPAN    212,SHARRER H L,Fall,2009,5,0,0,0,0,5,0,4.0,0,SPAN,0,0.0,0,0,0,0,0,0,0,0,0
SPAN    188,CASTILLO J L,Fall,2009,3,16,3,3,5,52,0,2.6634615384615383,0,SPAN,0,0.0,1,9,4,0,5,3,0,0,0
SPAN    140A,CHECA J,Fall,2009,12,6,5,1,0,58,0,3.268965517241379,0,SPAN,0,0.0,4,9,1,1,13,5,1,0,0
SPAN    139,MCCRACKEN E,Fall,2009,1,3,3,2,1,27,0,2.203703703703704,0,SPAN,0,0.0,0,3,3,0,1,1,9,0,0
SPAN    120B,MCCRACKEN E,Fall,2009,4,4,4,1,0,34,0,2.9088235294117646,0,SPAN,0,0.0,2,4,2,0,4,6,3,0,0
SPAN    110A,CORTIJO A,Fall,2009,5,28,0,0,2,79,0,3.1291139240506327,0,SPAN,0,0.0,0,19,0,0,13,12,0,0,0
SPAN    100,MIGLIO V G,Fall,2009,12,17,22,5,1,129,0,2.806201550387597,0,SPAN,0,0.0,12,14,11,5,14,10,5,1,0
SPAN     25,JEFFERSON M E,Fall,2009,9,2,0,0,0,30,0,3.576666666666667,0,SPAN,0,0.0,2,8,1,0,7,1,0,0,0
SPAN     16A,JEFFERSON M E,Fall,2009,8,4,1,0,2,32,0,3.2625,0,SPAN,0,0.0,1,7,0,0,7,2,0,0,0
SPAN      6,MARQUES-PASCU,Fall,2009,19,11,3,0,3,77,0,3.1545454545454543,0,SPAN,0,0.0,0,14,3,0,13,9,1,1,0
SPAN      5,MARQUES-PASCU,Fall,2009,4,17,3,1,2,54,0,2.9314814814814816,0,SPAN,0,0.0,0,8,1,0,9,7,2,0,0
SPAN      3,MARQUES-PASCU,Fall,2009,7,23,7,5,4,85,0,2.641176470588235,0,SPAN,0,0.0,2,6,5,5,11,6,3,1,0
SPAN      2,MARQUES-PASCU,Fall,2009,10,10,2,1,0,46,0,3.3021739130434784,0,SPAN,0,0.0,0,5,3,0,13,2,0,0,0
SPAN      1,MARQUES-PASCU,Fall,2009,11,12,3,0,2,53,0,3.145283018867924,0,SPAN,0,0.0,0,6,1,0,11,6,1,0,0
