Category,Course
Area B,CHIN 3
Area B,CHIN 3NH
Area B,CHIN 4
Area B,CHIN 4NH
Area B,CHIN 5
Area B,CHIN 5NH
Area B,CHIN 6
Area B,FR 3
Area B,FR 4
Area B,FR 5
Area B,FR 6
Area B,FR 6GS
Area B,GER 3
Area B,GER 4
Area B,GER 5
Area B,GER 6
Area B,GER 95B
Area B,GER 95C
Area B,GLOBL 60C
Area B,GLOBL 60D
Area B,GLOBL 60E
Area B,GLOBL 60F
Area B,GREEK 3
Area B,HEB 3
Area B,HEB 4
Area B,HEB 5
Area B,HEB 6
Area B,ITAL 3
Area B,ITAL 4
Area B,ITAL 5
Area B,ITAL 6
Area B,JAPAN 3
Area B,JAPAN 4
Area B,JAPAN 5
Area B,JAPAN 6
Area B,JAPANW 5
Area B,JAPANW 6
Area B,KOR 3
Area B,KOR 4
Area B,KOR 5
Area B,KOR 6
Area B,LATIN 3
Area B,PORT 3
Area B,PORT 4
Area B,PORT 5
Area B,PORT 6
Area B,PORT 16B
Area B,RG ST 10C
Area B,RG ST 10D
Area B,RG ST 10E
Area B,RG ST 10F
Area B,RG ST 11C
Area B,RG ST 11D
Area B,RG ST 11E
Area B,RG ST 11F
Area B,RG ST 17C
Area B,RG ST 30C
Area B,RG ST 30D
Area B,RG ST 30E
Area B,RG ST 30F
Area B,RG ST 57C
Area B,RG ST 57D
Area B,RG ST 57E
Area B,RG ST 57F
Area B,RG ST 58C
Area B,RG ST 58D
Area B,RG ST 60C
Area B,RG ST 60D
Area B,RG ST 60E
Area B,RG ST 60F
Area B,RG ST 65C
Area B,RG ST 65D
Area B,RG ST 65E
Area B,RG ST 65F
Area B,RG ST 157A
Area B,RG ST 157B
Area B,RG ST 157C
Area B,RG ST 158E
Area B,RG ST 159C
Area B,RUSS 3
Area B,RUSS 4
Area B,RUSS 5
Area B,RUSS 6
Area B,SPAN 3
Area B,SPAN 3HY
Area B,SPAN 4
Area B,SPAN 5
Area B,SPAN 6
Area B,SPAN 16A
Area B,SPAN 16B
Area B,SPAN W 3
Area C,ANTH 5
Area C,ASTRO 1
Area C,ASTRO 2
Area C,ASTROW 1
Area C,C LIT 27
Area C,CHEM 1A
Area C,CHEM 1AL
Area C,CHEM 2A
Area C,CHEM 2AC
Area C,CHEM 3A
Area C,CHEM 25
Area C,CMPSC 4
Area C,CMPSC 5A
Area C,CMPSC 5B
Area C,CMPSC 8
Area C,CMPSCW 8
Area C,COMM 87
Area C,EARTH 1
Area C,EARTH 2
Area C,EARTH 4
Area C,EARTH 6
Area C,EARTH 7
Area C,EARTH 8
Area C,EARTH 9
Area C,EARTH 10
Area C,EARTH 11
Area C,EARTH 20
Area C,EARTH 30
Area C,EARTH 111
Area C,EARTH 123
Area C,EARTH 130
Area C,EARTH 161
Area C,EARTHW 20
Area C,EEMB 3
Area C,EEMB 21
Area C,EEMB 22
Area C,EEMB 23
Area C,EEMB 40
Area C,EEMB 50
Area C,EEMB 136
Area C,EEMB W 22
Area C,ENV S 2
Area C,ENV S 115
Area C,FR 40X
Area C,GEOG 3
Area C,GEOG 4
Area C,GEOG 8
Area C,GEOG 12
Area C,GEOG W 8
Area C,GEOG W 12
Area C,INT 35HD
Area C,LING 15
Area C,LING 106
Area C,LING 185
Area C,MATH 2A
Area C,MATH 2B
Area C,MATH 3A
Area C,MATH 3B
Area C,MATH 34A
Area C,MATH 34B
Area C,MATRL 10
Area C,MCDB 1A
Area C,MCDB 20
Area C,MCDB 21
Area C,MCDB 23
Area C,MCDB 24
Area C,MCDB 26
Area C,MCDB 28
Area C,MCDB 29
Area C,PHIL 183
Area C,PHYS 1
Area C,PHYS 6A
Area C,PHYS 6AL
Area C,PHYS 6B
Area C,PHYS 6BL
Area C,PHYS 6C
Area C,PHYS 6CL
Area C,PHYS 10
Area C,PHYS 21
Area C,PSTAT 5A
Area C,PSTAT 5LS
Area C,PSY 106
Area C,PSY 108
Area C,PSY 129
Area C,SHS 121
Area D,ANTH 2
Area D,ANTH 3
Area D,ANTH 3SS
Area D,ANTH 7
Area D,ANTH 25
Area D,ANTH 109
Area D,ANTH 110
Area D,ANTH 131
Area D,ANTH 134
Area D,ANTH 135
Area D,ANTH 137
Area D,ANTH 141
Area D,ANTH 142
Area D,ANTH 156
Area D,ANTH 176
Area D,AS AM 1
Area D,AS AM 2
Area D,AS AM 3
Area D,AS AM 7
Area D,AS AM 8
Area D,AS AM 9
Area D,AS AM 100AA
Area D,AS AM 100BB
Area D,AS AM 100FF
Area D,AS AM 107
Area D,AS AM 111
Area D,AS AM 119
Area D,AS AM 130
Area D,AS AM 131
Area D,AS AM 136
Area D,AS AM 137
Area D,AS AM 154
Area D,AS AM 155
Area D,AS AM 156
Area D,AS AM 157
Area D,AS AM 165
Area D,AS AMW 1
Area D,BL ST 1
Area D,BL ST 1H
Area D,BL ST 4
Area D,BL ST 6
Area D,BL ST 6H
Area D,BL ST 15
Area D,BL ST 100
Area D,BL ST 102
Area D,BL ST 103
Area D,BL ST 122
Area D,BL ST 124
Area D,BL ST 125
Area D,BL ST 129
Area D,BL ST 131
Area D,BL ST 160
Area D,BL ST 169BR
Area D,BL ST 169CR
Area D,BL ST 171
Area D,BL ST 174
Area D,C LIT 119
Area D,C LIT 186FL
Area D,C LIT 186IR
Area D,CH ST 1A
Area D,CH ST 1B
Area D,CH ST 1C
Area D,CH ST 114
Area D,CH ST 124G
Area D,CH ST 137
Area D,CH ST 140
Area D,CH ST 144
Area D,CH ST 151
Area D,CH ST 168A
Area D,CH ST 168B
Area D,CH ST 172
Area D,CH ST 173
Area D,CH ST 174
Area D,CH ST 175
Area D,CH ST 176
Area D,CH ST 178A
Area D,CH ST 179
Area D,CH ST 187
Area D,CH STW 1B
Area D,COMM 1
Area D,EACS 40
Area D,EACS 103A
Area D,EACS 103B
Area D,EACS 103C
Area D,EACS 140
Area D,EACS 156A
Area D,ECON 1
Area D,ECON 2
Area D,ECON 9
Area D,ENV S 1
Area D,ENV S 130A
Area D,ENV S 130B
Area D,ENV S 132
Area D,FEMST 20
Area D,FEMST 20H
Area D,FEMST 30
Area D,FEMST 30H
Area D,FEMST 50
Area D,FEMST 50H
Area D,FEMST 60
Area D,FEMST 60H
Area D,FEMST 117C
Area D,FEMST 153
Area D,FEMST 159B
Area D,FEMST 159C
Area D,FEMSTW 20
Area D,FR 111
Area D,FR 151G
Area D,FR 154L
Area D,GEOG 2
Area D,GEOG 5
Area D,GEOG 6
Area D,GEOG 20
Area D,GEOG 108
Area D,GEOG 150
Area D,GLOBL 2
Area D,HIST 5
Area D,HIST 7
Area D,HIST 11A
Area D,HIST 17A
Area D,HIST 17AH
Area D,HIST 17B
Area D,HIST 17BH
Area D,HIST 17C
Area D,HIST 17CH
Area D,HIST 25
Area D,HIST 74
Area D,HIST 105A
Area D,HIST 117A
Area D,HIST 117C
Area D,HIST 144C
Area D,HIST 144J
Area D,HIST 159B
Area D,HIST 159C
Area D,HIST 161A
Area D,HIST 161B
Area D,Course &
Area D,HIST 167CA
Area D,HIST 167CB
Area D,HIST 168A
Area D,HIST 168B
Area D,HIST 172A
Area D,HIST 172B
Area D,HIST 175A
Area D,HIST 175B
Area D,HIST 188S
Area D,HIST W 17B
Area D,INT 133C
Area D,ITAL 161X
Area D,JAPAN 25
Area D,JAPAN 63
Area D,JAPAN 162
Area D,LING 20
Area D,LING 36
Area D,LING 70
Area D,LING 130
Area D,LING 132
Area D,LING 136
Area D,LING 170
Area D,LING 180
Area D,LING 187
Area D,MS 27
Area D,MUS 175E
Area D,MUS 175F
Area D,MUS 175G
Area D,MUS 175I
Area D,POL S 12
Area D,POL S 121
Area D,POL S 145
Area D,POL S 150A
Area D,POL S 151
Area D,POL S 155
Area D,POL SW 121
Area D,PSY 1
Area D,PSY 102
Area D,PSY 105
Area D,PSY 159
Area D,PSY 183
Area D,PSY W 1
Area D,RG ST 7
Area D,RG ST 14
Area D,RG ST 35
Area D,RG ST 115A
Area D,RG ST 124G
Area D,RG ST 131H
Area D,RG ST 140B
Area D,RG ST 141A
Area D,RG ST 147
Area D,RG ST 151A
Area D,RG ST 151B
Area D,RG ST 152
Area D,RG ST 156A
Area D,SLAV 152A
Area D,SLAV 152B
Area D,SLAV 152C
Area D,SOC 1
Area D,SOC 131
Area D,SOC 134
Area D,SOC 144
Area D,SOC 152A
Area D,SOC 153
Area D,SPAN 124
Area D,SPAN 124E
Area D,SPAN 178
Area E,ANTH 138TS
Area E,ANTH 176
Area E,ANTH 176TS
Area E,ARTHI 6A
Area E,ARTHI 6B
Area E,ARTHI 6C
Area E,ARTHI 6DL
Area E,ARTHI 6L
Area E,ARTHI 6M
Area E,ARTHI 115E
Area E,ARTHI 136I
Area E,ARTHI 144D
Area E,ARTHI 148A
Area E,ARTHI 148B
Area E,ARTHIW 6R
Area E,AS AM 71
Area E,AS AM 138
Area E,AS AM 161
Area E,BL ST 3
Area E,BL ST 5
Area E,BL ST 7
Area E,BL ST 49A
Area E,BL ST 49B
Area E,BL ST 49C
Area E,BL ST 50
Area E,BL ST 104
Area E,BL ST 130A
Area E,BL ST 130B
Area E,C LIT 27
Area E,C LIT 28
Area E,C LIT 30A
Area E,C LIT 30B
Area E,C LIT 30C
Area E,C LIT 35
Area E,C LIT 43A
Area E,C LIT 50
Area E,C LIT 50A
Area E,C LIT 50B
Area E,C LIT 50C
